"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-4516",-1908.24953269629,14265.8620785459,-5.15827469190462,2.82495501712338e-07,2.06680157285671e-06,2.8529819302775
"hsa-miR-4517",0,0,0,1,1,-10.3429708982513
"hsa-miR-4518",-0.30924222071449,1.20793338333222,-2.67643562637725,0.00752202419441932,0.0286322211271445,-6.76749552363951
"hsa-miR-4519",0.193975312039745,7.24097837974367,0.972606711903871,0.330905592052859,0.719952947568367,-9.86982768798834
"hsa-miR-451a",-23.2405215130774,29.7373738679487,-9.0243145460751,5.39455190305741e-19,1.18917265027837e-17,29.3354144324642
"hsa-miR-451b",-0.0563432740879504,0.336281180727696,-0.44966510051624,0.653016897982353,1,-10.2418120040304
"hsa-miR-452-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-452-5p",-0.823739663690278,8.5359553633482,-2.77274447365336,0.00562733903607877,0.0219193050609204,-6.50621443468825
"hsa-miR-4520a-3p",0.00941740254558099,0.00669724761784288,1.06345440995505,0.287747071111103,0.643730009209114,-9.77734526509779
"hsa-miR-4520a-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4520b-3p",-0.459439175441285,0.876788746261651,-5.19227011295833,2.36223121997486e-07,1.74214552473146e-06,3.0259450270548
"hsa-miR-4521",0,0,0,1,1,-10.3429708982513
"hsa-miR-4522",-1.76540336029274,11.191549537751,-3.1719263026559,0.00154497586620895,0.00666499266153796,-5.32591523171327
"hsa-miR-4523",0,0,0,1,1,-10.3429708982513
"hsa-miR-4524a-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4524a-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4524b-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4524b-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4525",0,0,0,1,1,-10.3429708982513
"hsa-miR-4526",-0.169755648844785,2.7174333731731,-1.05518105096271,0.291512424827979,0.649519450901118,-9.78610857857562
"hsa-miR-4527",0,0,0,1,1,-10.3429708982513
"hsa-miR-4528",0,0,0,1,1,-10.3429708982513
"hsa-miR-4529-3p",0.00253565452520516,0.0014400221770972,0.872261335311701,0.383205400663367,0.753651863113937,-9.96239777498625
"hsa-miR-4529-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4530",-569.420631263825,7043.18784683955,-3.97729012908976,7.30261223745269e-05,0.000376582008954501,-2.46979712283049
"hsa-miR-4531",-1.1567392218592,9.40549715062517,-5.05377820593477,4.86333552322746e-07,3.43515882380081e-06,2.3281908910058
"hsa-miR-4532",-40.8597354216997,314.330130814115,-4.81255641130686,1.64028765730265e-06,1.07529968645396e-05,1.15644126442231
"hsa-miR-4533",-0.235070725687132,0.717677759823569,-2.2730421691569,0.0231645127204196,0.0799793674994179,-7.76235612025089
"hsa-miR-4534",-23.0817628914427,212.761352550493,-4.49486192749917,7.49610400041997e-06,4.52927247736219e-05,-0.301910212525096
"hsa-miR-4535",-3.94107975953671,60.0917493930692,-4.0503648564204,5.37517929601521e-05,0.000283752885994908,-2.17941392391166
"hsa-miR-4536-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4536-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4537",0.0049676504056272,0.0028211756298269,0.872261939882017,0.383205071029439,0.753651863113937,-9.96239724756404
"hsa-miR-4538",-40.6439756571095,147.202426294694,-18.376988271353,3.46323631797452e-68,5.78937671154741e-66,142.051928527634
"hsa-miR-4539",-22.5138429305748,58.9436561654194,-22.9719125720137,2.61499991094318e-100,1.311422455338e-97,215.890875133054
"hsa-miR-454-3p",0.00185357375615475,0.00105266205992011,0.872260622890746,0.383205789101646,0.753651863113937,-9.96239839649586
"hsa-miR-454-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4540",0,0,0,1,1,-10.3429708982513
"hsa-miR-455-3p",1.08179403387639,0.65012560055526,8.24708505469845,3.50666536094738e-16,6.28068813755397e-15,22.9377189444882
"hsa-miR-455-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4632-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4632-5p",-14.4714846759272,188.86739826263,-4.60984009817832,4.37180557988548e-06,2.69841292100009e-05,0.214716582599619
"hsa-miR-4633-3p",-0.00425594125115562,0.00183895197869507,-1.14665096517909,0.251708748803332,0.575949461962755,-9.68542327079692
"hsa-miR-4633-5p",-0.314343906475284,7.00395828308522,-1.86552815510673,0.0623024667841664,0.191391651407408,-8.60374761967435
"hsa-miR-4634",-42.730798143779,284.558709791545,-5.15770893977755,2.8333521063589e-07,2.06680157285671e-06,2.85011275204799
"hsa-miR-4635",0,0,0,1,1,-10.3429708982513
"hsa-miR-4636",-0.110489493483832,5.30210436831491,-0.711337244340863,0.476985860581215,0.895073560641644,-10.0898471806793
"hsa-miR-4637",0,0,0,1,1,-10.3429708982513
"hsa-miR-4638-3p",0.00322037813149817,0.147772940308256,0.0717442725704551,0.94281498528005,1,-10.340395593067
"hsa-miR-4638-5p",-0.291723732270556,2.68681625881158,-1.44493200837386,0.14868581337078,0.396100586483114,-9.29909763897631
"hsa-miR-4639-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4639-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4640-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4640-5p",3.05140813697563,27.7032161510985,7.98785809799836,2.71145014478718e-15,4.38642660519603e-14,20.9206848342823
"hsa-miR-4641",0,0,0,1,1,-10.3429708982513
"hsa-miR-4642",0.0270663375682491,0.11027089691478,0.962924071961719,0.335740806537234,0.728103846393179,-9.8791985122242
"hsa-miR-4643",0,0,0,1,1,-10.3429708982513
"hsa-miR-4644",1.18923579930425,8.5947022378735,4.66073717417301,3.43013827662442e-06,2.15700858398388e-05,0.44746065151787
"hsa-miR-4645-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4645-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4646-3p",-0.0812394944468454,0.76282849061518,-0.626388851827569,0.531155214150331,0.972169123709457,-10.1466862980815
