"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIMAT0027481",0.152985915492976,5.13749367088608,0.466594938102178,0.641988617465705,0.959206522566406,-6.39788386432441
"MIMAT0027482",0.22985387323947,9.67720253164557,1.36076098021698,0.177202135374262,0.65305875579597,-5.59931882862978
"MIMAT0027483",-0.138380281690124,3.52663291139241,-0.410551353971467,0.682439129783494,0.961614522730469,-6.42215195594245
"MIMAT0027484",0.827017605633824,6.28251898734177,2.5347693277902,0.0130923549413585,0.157604651900714,-3.4436279699632
"MIMAT0027485",-0.27436971830984,5.02616455696203,-0.805919198642146,0.422548205976557,0.878310519760533,-6.18533459267201
"MIMAT0027486",-0.00551936619716731,4.43016455696203,-0.013037144688001,0.989628843069625,0.998394151100232,-6.50538660184487
"MIMAT0027487",0.205931338028183,3.89520253164557,0.485332312615041,0.628694687386331,0.954403972380348,-6.38908199456493
"MIMAT0027488",-0.0178415492957384,8.51421518987342,-0.096912006227287,0.923025413047857,0.970911925838992,-6.50082362794423
"MIMAT0027489",-0.86482570422533,4.13612658227848,-2.70903476071528,0.00816567507131992,0.118167357232878,-3.02619762762563
"MIMAT0027490",0.213975352112705,6.81955696202532,0.867770699494395,0.387973867753388,0.855798595981641,-6.1345406470349
"MIMAT0027491",0.0984471830986111,4.93422784810127,0.231154122024164,0.81775300726786,0.962062361491601,-6.47903976721761
"MIMAT0027492",0.454447183098611,4.82017721518987,1.19706376228587,0.234624120405654,0.743185944474598,-5.8024752480734
"MIMAT0027493",-0.0667095070422308,6.32467088607595,-0.258252785369259,0.796838833335464,0.962062361491601,-6.4724820535003
"MIMAT0027494",-0.401517605633778,6.55839240506329,-1.48411105003312,0.141494510801738,0.583831482580127,-5.42982876232996
"MIMAT0027495",0.00226056338030745,5.00553164556962,0.0064207581978227,0.994892122609826,0.998682660979711,-6.50545030569829
"MIMAT0027496",-0.00101056338025174,10.1883417721519,-0.00524753934790093,0.995825438578952,0.998682660979711,-6.50545707955033
"MIMAT0027497",0.379698943661993,6.02687341772152,1.18718523206246,0.238476201356544,0.745512851372218,-5.813933041746
"MIMAT0027498",0.77515316901412,9.51853164556962,5.01071017247211,2.93261974600211e-06,0.000392044955518176,4.34042439259628
"MIMAT0027499",-0.484859154929561,3.65324050632911,-1.24723621612553,0.215751428824555,0.712625005480326,-5.74286787118776
"MIMAT0027500",-0.433380281690112,7.85350632911392,-2.50347339940333,0.0142188727256747,0.164303855385585,-3.51608821277409
"MIMAT0027501",-0.220890845070398,6.04022784810127,-0.830046250272045,0.408847999320773,0.874872719692302,-6.16596004073232
"MIMAT0027502",0.172908450704242,3.79189873417722,0.422659213783353,0.673615891510598,0.961614522730469,-6.41717043384272
"MIMAT0027503",0.449510563380301,5.09824050632911,1.4566886544996,0.148902642235895,0.599289183073626,-5.46871719710097
"MIMAT0027504",0.097130281690168,9.30754430379747,0.491930643881225,0.624041980538611,0.951656525891888,-6.38590040256251
"MIMAT0027505",-0.192503521126737,4.75424050632911,-0.563839195942557,0.574354694841749,0.931584243229912,-6.34846061014482
"MIMAT0027506",-0.094262323943612,11.1706582278481,-0.750564521156513,0.454996574607609,0.894497909832297,-6.22765786329881
"MIMAT0027507",-0.652109154929554,5.05417721518987,-1.95013959916405,0.0544699283165135,0.357263948039524,-4.66559494691596
"MIMAT0027508",-0.394378521126746,3.4526835443038,-1.0583637327377,0.292901187190099,0.794248962570382,-5.9549190662395
"MIMAT0027509",-0.0807975352112473,5.16075949367089,-0.235757051299179,0.81419079115847,0.962062361491601,-6.47797701461555
"MIMAT0027510",-0.0315334507041936,10.4197848101266,-0.188225564781565,0.8511504361757,0.965331390550077,-6.48794345873581
"MIMAT0027511",0.60800000000003,8.02743037974684,3.24888088388089,0.00166265401861713,0.0464081451350276,-1.59002203500853
"MIMAT0027512",0.365487676056366,6.18610126582278,0.952147873334354,0.34373349760496,0.827804806284459,-6.05930987056299
"MIMAT0027513",-0.0462799295774512,3.34553164556962,-0.117229564043907,0.906955906118522,0.968773017851872,-6.49867103858055
"MIMAT0027514",0.998133802816924,6.42855696202532,2.66118663804199,0.0093152324855188,0.127208013511923,-3.14314413849166
"MIMAT0027515",-0.116364436619705,3.28254430379747,-0.31418968025374,0.754150187125395,0.961614522730469,-6.45665332410419
"MIMAT0027516",0.130258802816936,8.05044303797468,0.876944217598769,0.382999513321189,0.855798595981641,-6.12669305748627
"MIMAT0027517",-0.609700704225339,3.31529113924051,-1.66382853753621,0.0998455249487854,0.493547483673832,-5.15804884311166
